Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
GP3D_CHLMU	GP3D_CHLMU	GP3D_CHLMU	TCA04_2_SPC|TCA04_3_SPC	158|157	315	2	1.00	1.00|1.00	0|0|0|0	1.0000	1.0000	0.0000
GP3D_CHLMU	SYW_CHLMU	SYW_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|16	17	2	0.50	0.04|0.99	0|2|0|0	0.5110	0.9850	0.2843
GP3D_CHLMU	DNLI4_HUMAN	DNLI4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|11	20	2	0.98	0.98|0.98	0|1|0|2	0.9800	0.9840	0.0099
GP3D_CHLMU	SYK_CHLMU	SYK_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|4	10	2	0.99	1.00|0.98	0|0|0|0	0.9885	0.9950	0.0054
GP3D_CHLMU	KDSA_CHLMU	KDSA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	9|6	15	2	0.98	0.99|0.98	1|0|1|0	0.9820	0.9850	0.0079
GP3D_CHLMU	BCAR3_HUMAN	BCAR3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|3	17	2	0.72	0.97|0.48	3|0|0|0	0.7260	0.9730	0.1232
GP3D_CHLMU	RIBD_CHLMU	RIBD_CHLMU	TCA04_2_SPC|TCA04_3_SPC	11|5	16	2	0.90	0.94|0.87	2|0|1|0	0.9050	0.9370	0.0414
GP3D_CHLMU	EPIPL_HUMAN	EPIPL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|6	8	2	0.31	0.21|0.40	0|0|0|0	0.3030	0.3980	0.4958
GP3D_CHLMU	LDB1_HUMAN	LDB1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.90	0.83|0.96	0|1|0|0	0.8975	0.9610	0.0463
GP3D_CHLMU	NMRL1_HUMAN	NMRL1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.86	0.78|0.93	0|0|0|1	0.8565	0.9300	0.0572
GP3D_CHLMU	MAP1_CHLMU	MAP1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|6	12	2	0.97	0.97|0.96	1|0|1|0	0.9655	0.9670	0.0167
GP3D_CHLMU	P01966	P01966	TCA04_2_SPC|TCA04_3_SPC	0|7	7	2	0.46	0.00|0.86	0|0|0|0	0.4300	0.8600	0.3986
GP3D_CHLMU	PYRH_CHLMU	PYRH_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.61	0.35|0.88	0|0|0|0	0.6145	0.8820	0.2048
GP3D_CHLMU	WIPI3_HUMAN	WIPI3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|11	16	2	0.92	0.89|0.97	1|0|0|3	0.9305	0.9670	0.0309
GP3D_CHLMU	FOLC_HUMAN	FOLC_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|0	7	2	0.43	0.87|0.00	0|0|0|0	0.4350	0.8700	0.3912
GP3D_CHLMU	ES8L2_HUMAN	ES8L2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.96	0.93|0.97	0|0|0|0	0.9505	0.9670	0.0286
GP3D_CHLMU	TET5A_HUMAN	TET5A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.96	0.94|0.96	0|0|0|0	0.9520	0.9600	0.0273
GP3D_CHLMU	TYW4_HUMAN	TYW4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.54	0.24|0.90	0|0|0|0	0.5690	0.9000	0.2310
GP3D_CHLMU	PFKAP_HUMAN	PFKAP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|7	9	2	0.79	0.59|0.96	0|1|0|0	0.7755	0.9640	0.0889
