Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
GP3D_CHLMU	GP3D_CHLMU	GP3D_CHLMU	TCA04_2_SPC|TCA04_3_SPC	158|157	315	2	1.00	1.00|1.00	0|0|0|0	1.0000	1.0000	0.0000
GP3D_CHLMU	SYW_CHLMU	SYW_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|16	17	2	0.51	0.02|0.99	0|2|0|0	0.5065	0.9920	0.2659
GP3D_CHLMU	DNLI4_HUMAN	DNLI4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|11	20	2	0.99	0.98|0.99	0|1|0|2	0.9885	0.9940	0.0058
GP3D_CHLMU	SYK_CHLMU	SYK_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|4	10	2	0.96	0.98|0.94	0|0|0|0	0.9610	0.9780	0.0214
GP3D_CHLMU	KDSA_CHLMU	KDSA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	9|6	15	2	0.97	0.99|0.95	1|0|1|0	0.9675	0.9900	0.0170
GP3D_CHLMU	BCAR3_HUMAN	BCAR3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|3	17	2	0.58	0.99|0.18	3|0|0|0	0.5875	0.9930	0.1990
GP3D_CHLMU	RIBD_CHLMU	RIBD_CHLMU	TCA04_2_SPC|TCA04_3_SPC	11|5	16	2	0.82	0.95|0.68	2|0|1|0	0.8145	0.9490	0.0940
GP3D_CHLMU	EPIPL_HUMAN	EPIPL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|6	8	2	0.29	0.23|0.37	0|0|0|0	0.2990	0.3700	0.5354
GP3D_CHLMU	LDB1_HUMAN	LDB1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.84	0.71|0.98	0|1|0|0	0.8410	0.9760	0.0722
GP3D_CHLMU	NMRL1_HUMAN	NMRL1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.82	0.69|0.94	0|0|0|1	0.8125	0.9390	0.1002
GP3D_CHLMU	MAP1_CHLMU	MAP1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|6	12	2	0.94	0.95|0.94	1|0|1|0	0.9455	0.9470	0.0269
GP3D_CHLMU	P01966	P01966	TCA04_2_SPC|TCA04_3_SPC	0|7	7	2	0.43	0.00|0.90	0|0|0|0	0.4480	0.8960	0.4164
