Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
GP3D_CHLMU	GP3D_CHLMU	GP3D_CHLMU	TCA04_2_SPC|TCA04_3_SPC	158|157	315	2	1.00	1.00|1.00	0|0|0|0	1.0000	1.0000	0.0000
GP3D_CHLMU	SYW_CHLMU	SYW_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|16	17	2	0.53	0.04|1.00	0|2|0|0	0.5160	0.9960	0.2582
GP3D_CHLMU	DNLI4_HUMAN	DNLI4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|11	20	2	1.00	1.00|1.00	0|1|0|2	0.9970	0.9990	0.0015
GP3D_CHLMU	SYK_CHLMU	SYK_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|4	10	2	0.99	0.99|0.99	0|0|0|0	0.9900	0.9920	0.0055
GP3D_CHLMU	KDSA_CHLMU	KDSA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	9|6	15	2	0.99	1.00|0.99	1|0|1|0	0.9910	0.9960	0.0040
GP3D_CHLMU	BCAR3_HUMAN	BCAR3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|3	17	2	0.73	0.99|0.46	3|0|0|0	0.7245	0.9930	0.1103
GP3D_CHLMU	RIBD_CHLMU	RIBD_CHLMU	TCA04_2_SPC|TCA04_3_SPC	11|5	16	2	0.93	0.98|0.88	2|0|1|0	0.9270	0.9780	0.0340
GP3D_CHLMU	EPIPL_HUMAN	EPIPL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|6	8	2	0.32	0.23|0.42	0|0|0|0	0.3270	0.4240	0.4983
GP3D_CHLMU	LDB1_HUMAN	LDB1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.89	0.80|0.99	0|1|0|0	0.8925	0.9860	0.0562
GP3D_CHLMU	NMRL1_HUMAN	NMRL1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.85	0.74|0.96	0|0|0|1	0.8515	0.9630	0.0701
GP3D_CHLMU	MAP1_CHLMU	MAP1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|6	12	2	0.98	0.97|0.98	1|0|1|0	0.9725	0.9750	0.0119
GP3D_CHLMU	P01966	P01966	TCA04_2_SPC|TCA04_3_SPC	0|7	7	2	0.47	0.00|0.92	0|0|0|0	0.4575	0.9150	0.3984
GP3D_CHLMU	PYRH_CHLMU	PYRH_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.63	0.36|0.91	0|0|0|0	0.6325	0.9100	0.1585
GP3D_CHLMU	WIPI3_HUMAN	WIPI3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|11	16	2	0.93	0.88|1.00	1|0|0|3	0.9370	0.9960	0.0301
GP3D_CHLMU	FOLC_HUMAN	FOLC_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|0	7	2	0.45	0.89|0.00	0|0|0|0	0.4470	0.8940	0.4112
GP3D_CHLMU	ES8L2_HUMAN	ES8L2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.94	0.92|0.96	0|0|0|0	0.9375	0.9570	0.0264
GP3D_CHLMU	TET5A_HUMAN	TET5A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.95	0.94|0.96	0|0|0|0	0.9500	0.9620	0.0174
GP3D_CHLMU	TYW4_HUMAN	TYW4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.55	0.20|0.89	0|0|0|0	0.5430	0.8910	0.2284
GP3D_CHLMU	PFKAP_HUMAN	PFKAP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|7	9	2	0.72	0.49|0.98	0|1|0|0	0.7340	0.9750	0.0977
GP3D_CHLMU	DNAA1_CHLMU	DNAA1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|6	9	2	0.91	0.83|0.98	0|0|0|1	0.9030	0.9810	0.0458
GP3D_CHLMU	TGDS_HUMAN	TGDS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|22	32	2	0.89	0.79|1.00	0|8|1|4	0.8970	1.0000	0.0530
